"","Role1","State","SoyH17","SoyH18","SoyH19","XtR17","XtR18","XtR19","PRE17","PRE18","PRE19","POST17","POST18","POST19"
"197","Farmer","Nebraska",161.9,161.9,161.9,20.012353304509,30.0185299567634,100,0,0,100,20.012353304509,30.0185299567634,100
"198","Farmer","Nebraska",52.6,42.5,28.3,0,0,100,0,0,100,0,0,100
"199","Farmer","Nebraska",129.5,133.5,129.5,100,100,100,100,100,100,100,40.8988764044944,NA
"200","Farmer","Nebraska",182.1,242.8,182.1,0,83.3196046128501,100,0,13.3443163097199,8.89621087314662,0,0,0
"201","Farmer","Nebraska",26.3,26.3,26.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","","Nebraska",131.5,151.8,192.2,55.361216730038,32.0158102766798,42.0915712799168,0,0,0,0,0,0
"203","Farmer","Nebraska",1618.8,1618.8,1618.8,0,25,50,NA,12.4969112923153,50,0,10.0012354830739,50
"204","Farmer","Nebraska",91.1,91.1,91.1,0,0,0,0,0,0,0,0,0
"205","Farmer","Nebraska",105.2,105.2,93.1,0,0,0,0,0,0,0,0,0
"206","Farmer","Nebraska",202.3,202.3,202.3,16.0158180919427,100,100,0,32.0316361838853,32.0316361838853,0,0,0
"207","Farmer","Nebraska",404.7,404.7,404.7,0,100,100,0,16.0118606375093,16.0118606375093,0,0,0
"208","Farmer","Nebraska",505.9,505.9,505.9,0,0,NA,0,0,NA,0,0,NA
"209","Farmer","Nebraska",182.1,182.1,161.9,39.9780340472268,62.2185612300934,74.9845583693638,0,0,0,0,0,0
"210","Farmer","Nebraska",809.4,809.4,809.4,100,100,100,50,50,50,100,100,100
"211","Decision influencer","Nebraska",8093.9,4046.9,10117.4,5.00006177491691,50.001235513603,59.9996046415087,0,50.001235513603,59.9996046415087,0,4.9988880377573,20.0001976792457
"212","Decision influencer","Nebraska",2428.2,2428.2,2428.2,0,100,100,0,0,0,0,0,0
"213","Farmer","Nebraska",202.3,202.3,202.3,0,100,100,0,0,NA,0,0,NA
"214","Farmer","Nebraska",323.8,323.8,323.8,50,74.9845583693638,100,0,0,0,0,0,0
"215","Farmer","Nebraska",384.5,259,364.2,21.0403120936281,100,100,0,98.4555984555985,100,0,0,0
"216","Farmer","Nebraska",202.3,161.9,202.3,20.0197726149283,74.9845583693638,NA,20.0197726149283,74.9845583693638,NA,NA,25.0154416306362,100
"217","Decision influencer","Nebraska",8093.9,8498.6,8093.9,10.0001235498338,23.8098039677123,35.0004324244184,5.00006177491691,11.9043136516603,20.0002470996677,10.0001235498338,23.8098039677123,30.0003706495015
"218","Decision influencer","Nebraska",8.1,20.2,NA,49.3827160493827,70.2970297029703,NA,24.6913580246914,34.1584158415842,NA,49.3827160493827,70.2970297029703,NA
"219","Farmer","Nebraska",0,20.2,20.2,NA,100,100,NA,0,NA,NA,0,NA
"220","Farmer","Nebraska",NA,66.8,NA,NA,0,NA,NA,0,NA,NA,0,NA
"221","Farmer","Nebraska",242.8,202.3,NA,100,100,NA,50,100,NA,0,0,NA
"222","Farmer","Nebraska",80.9,80.9,80.9,20.0247218788628,100,100,0,0,50.061804697157,0,60.0741656365884,50.061804697157
"223","Farmer","Nebraska",101.2,182.1,202.3,0,44.4261394838001,50.0247157686604,0,0,50.0247157686604,0,0,9.98517053880376
"224","Decision influencer","Nebraska",445.2,445.2,445.2,100,100,100,NA,100,100,NA,100,100
"225","Farmer","Nebraska",202.3,202.3,202.3,32.0316361838853,100,100,0,16.0158180919427,0,32.0316361838853,47.9980227385072,100
"226","Farmer","Nebraska",202.3,202.3,202.3,0,0,0,0,0,0,0,0,0
"227","Farmer","Nebraska",161.9,161.9,161.9,0,0,NA,0,0,NA,0,0,NA
"228","Farmer","Nebraska",101.2,72.8,48.6,0,0,0,0,0,0,0,0,0
"229","Farmer","Nebraska",1011.7,1011.7,1011.7,0,40.0019768706138,59.9980231293862,0,0,40.0019768706138,0,40.0019768706138,19.9960462587724
"230","Farmer","Nebraska",80.9,93.1,80.9,100,86.8958109559613,100,0,0,0,0,0,0
"231","Farmer","Nebraska",202.3,202.3,202.3,0,0,NA,0,0,NA,0,0,NA
"232","Farmer","Nebraska",74.9,62.7,74.9,0,25.8373205741627,NA,0,0,0,0,0,NA
"233","Farmer","Nebraska",64.8,121.4,97.1,NA,66.6392092257002,NA,NA,66.6392092257002,NA,0,0,0
"234","Farmer","Nebraska",267.1,178.1,267.1,100,100,100,100,100,100,0,0,NA
"235","Farmer","Nebraska",445.2,404.7,NA,NA,100,NA,NA,89.9925871015567,NA,NA,NA,NA
"236","Farmer","Nebraska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Farmer","Nebraska",404.7,404.7,404.7,100,100,100,0,100,100,0,0,100
"238","Farmer","Nebraska",505.9,505.9,505.9,100,100,100,100,100,100,55.9992093299071,79.9960466495355,100
"239","Farmer","Nebraska",303.5,303.5,303.5,40,100,100,40,66.6556836902801,100,0,66.6556836902801,100
"240","Farmer","Nebraska",3237.6,3237.6,4046.9,75,100,100,25,75,90.0022239244854,12.5,25,NA
"241","Farmer","Nebraska",60.7,60.7,60.7,NA,100,100,NA,0,0,NA,0,0
"242","Decision influencer","Nebraska",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Farmer","Nebraska",202.3,404.7,404.7,0,0,100,0,0,100,0,0,0
"244","Farmer","Nebraska",101.2,101.2,101.2,0,0,0,0,0,0,0,0,0
"245","Farmer","Nebraska",121.4,121.4,121.4,0,0,0,0,0,0,0,0,0
"246","Farmer","Nebraska",80.9,80.9,80.9,0,0,0,0,0,0,0,0,0
"247","Decision influencer","Nebraska",10117.4,10117.4,10117.4,4.00003953584913,20.0001976792457,39.999406962263,4.00003953584913,20.0001976792457,39.999406962263,0,8.00007907169826,20.0001976792457
